pos_id,settlement_id,item_id,quantity
1,1,19,1
2,1,27,1
3,1,2,1
4,2,20,1
5,2,27,1
6,2,10,1
7,3,17,1
8,3,21,1
9,3,15,1
10,4,17,3
11,4,27,3
12,4,2,3
13,5,31,1
14,5,14,2
15,5,30,1
16,6,21,1
17,6,6,1
18,6,29,1
19,7,26,1
20,7,18,4
21,7,2,4
22,8,4,1
23,8,17,1
24,8,27,1
25,9,23,1
26,9,31,1
27,9,10,1
28,10,23,1
29,10,17,1
30,10,8,1
31,11,30,1
32,11,15,1
33,12,17,1
34,12,14,1
35,13,28,2
36,13,18,2
37,14,31,3
38,14,14,3
39,15,14,1
40,15,15,1
41,16,28,3
42,16,23,3
43,16,18,2
44,16,21,2
45,16,1,3
46,16,10,1
47,17,24,1
48,17,5,1
49,17,21,1
50,17,29,1
51,18,20,1
52,18,23,1
53,18,27,1
54,18,8,1
55,19,6,1
56,19,18,1
57,19,17,1
58,19,27,1
59,20,13,1
60,20,10,1
61,20,7,3
62,20,28,4
63,20,19,2
64,20,18,2
65,21,7,2
66,21,30,1
67,21,31,1
68,21,17,2
69,21,14,2
70,21,27,3
71,22,30,1
72,22,1,1
73,23,4,1
74,23,17,1
75,24,8,1
76,24,17,1
77,24,23,1
78,25,11,1
79,25,28,1
80,25,20,1
81,26,30,1
82,26,31,1
83,26,14,2
84,27,11,1
85,27,14,1
86,27,15,2
87,28,24,1
88,28,17,2
89,28,3,2
90,29,20,3
91,29,27,3
92,29,5,3
93,30,15,1
94,30,21,1
95,30,27,1
96,31,1,1
97,31,24,1
98,31,17,1
99,31,27,1
100,31,14,2
101,32,3,8
102,32,28,8
103,32,18,4
104,32,19,4
105,33,2,1
106,33,17,1
107,33,28,1
108,34,23,3
109,34,11,3
110,34,18,3
111,35,30,2
112,35,31,1
113,35,14,3
114,36,8,1
115,36,27,1
116,36,17,1
117,37,1,2
118,37,28,2
119,37,17,2
120,38,21,1
121,38,27,1
122,38,3,1
123,39,5,1
124,39,21,1
125,39,28,1
126,40,8,2
127,40,11,2
128,40,18,4
129,40,28,2
130,40,25,2
131,41,15,2
132,41,23,2
133,41,17,2
134,42,17,5
135,42,3,5
136,42,27,5
137,43,24,1
138,43,27,1
139,43,1,1
140,44,4,1
141,44,18,1
142,44,27,1
143,45,8,2
144,45,20,2
145,45,27,2
146,46,29,4
147,46,3,4
148,46,21,4
149,47,4,1
150,47,19,1
151,47,29,1
152,48,30,1
153,48,31,1
154,48,14,2
155,49,3,1
156,49,18,1
157,49,28,1
158,50,6,1
159,50,20,1
160,50,27,1
161,51,30,2
162,51,31,4
163,51,14,6
164,52,12,1
165,52,24,1
166,52,17,1
167,53,15,1
168,53,19,1
169,53,23,1
170,54,12,1
171,54,16,1
172,54,6,1
173,55,8,2
174,55,11,4
175,55,14,2
176,55,29,8
177,55,17,3
178,55,21,3
179,55,20,2
180,55,26,2
181,56,3,3
182,56,21,3
183,56,28,3
184,57,12,1
185,57,19,1
186,57,23,1
187,58,30,1
188,58,31,1
189,58,13,2
190,59,24,1
191,59,9,1
192,59,27,1
193,60,5,1
194,60,17,1
195,60,28,1
196,61,14,1
197,62,16,3
198,63,14,1
199,64,31,1
200,64,14,2
201,64,30,1
202,65,21,4
203,65,3,4
204,65,28,4
205,66,5,2
206,66,20,2
207,66,28,2
208,67,2,1
209,67,21,1
210,67,27,1
211,68,5,1
212,68,17,1
213,68,28,1
214,69,14,6
215,69,30,3
216,69,31,1
217,70,10,3
218,70,13,3
219,70,7,4
220,71,30,2
221,71,14,2
222,72,18,1
223,72,3,1
224,73,2,3
225,73,8,1
226,74,28,4
227,74,3,4
228,74,21,4
229,75,18,2
230,75,5,2
231,75,28,2
232,76,13,1
233,76,21,1
234,76,29,1
235,77,30,1
236,77,31,2
237,77,14,3
238,78,4,1
239,78,23,1
240,78,20,1
241,79,2,1
242,79,21,1
243,79,29,1
244,80,13,1
245,80,27,1
246,80,18,1
247,81,2,3
248,81,8,2
249,81,20,2
250,81,21,2
251,81,18,1
252,81,27,3
253,81,28,2
254,81,26,1
255,82,1,1
256,82,17,1
257,82,27,1
258,83,2,2
259,83,28,2
260,83,21,2
261,84,4,1
262,84,17,1
263,84,23,1
264,85,14,1
265,85,18,1
266,85,27,1
267,86,19,1
268,86,5,1
269,86,27,1
270,87,8,2
271,87,2,2
272,87,16,2
273,88,24,2
274,88,27,2
275,88,2,4
276,89,2,2
277,89,16,2
278,89,17,3
279,89,21,1
280,89,27,4
281,90,4,2
282,90,20,2
283,90,27,2
284,91,1,1
285,91,20,1
286,91,29,1
287,92,5,2
288,92,14,2
289,92,8,2
290,92,17,3
291,92,18,3
292,92,28,6
293,93,7,3
294,93,11,2
295,93,6,2
296,93,21,4
297,93,17,3
298,93,29,4
299,94,2,2
300,94,19,2
301,94,28,2
302,94,23,2
303,95,2,1
304,95,18,1
305,95,28,1
306,96,5,2
307,96,23,2
308,96,19,2
309,97,4,2
310,97,18,1
311,97,21,1
312,97,28,2
313,98,3,1
314,98,23,1
315,98,20,1
316,98,29,1
317,99,3,1
318,99,16,1
319,100,14,1
320,101,21,1
321,101,3,1
322,101,29,1
323,102,5,2
324,102,13,2
325,102,8,2
326,102,28,6
327,102,17,2
328,102,21,2
329,102,19,2
330,103,14,2
331,103,30,1
332,103,31,1
333,104,17,1
334,104,28,1
335,104,1,1
336,105,16,1